"地域コード","都道府県","市区町村","地域","投票日","選挙名","議会議員","首長","補欠選挙","再選挙","政令指定都市","候補者数","年齢中央値","年齢最小値","年齢平均値","X65歳以上割合","新人割合","女性割合","自民公明割合","共産社民割合","無所属割合"
"R01231","北海道","恵庭市","北海道",2015-04-26,"恵庭市議会議員選挙",1,0,0,0,0,26,58,31,56.3333333333333,0.19047619047619,0.142857142857143,0.142857142857143,0.666666666666667,0.0476190476190476,0.285714285714286
"R01231","北海道","恵庭市","北海道",2017-11-19,"恵庭市長選挙",0,1,0,0,0,1,65,65,65,1,0,0,0,0,1
"R01231","北海道","恵庭市","北海道",2019-04-21,"恵庭市議会議員選挙",1,0,0,0,0,25,60,35,56.9047619047619,0.333333333333333,0.333333333333333,0.238095238095238,0.571428571428571,0,0.380952380952381
"R01231","北海道","恵庭市","北海道",2021-11-14,"恵庭市長選挙",0,1,0,0,0,1,69,69,69,1,0,0,0,0,1
"R01233","北海道","伊達市","北海道",2015-04-26,"伊達市議会議員選挙",1,0,0,0,0,19,63,31,58,0.388888888888889,0.166666666666667,0.0555555555555556,0.111111111111111,0.0555555555555556,0.833333333333333
"R01233","北海道","伊達市","北海道",2015-04-26,"伊達市長選挙",0,1,0,0,0,1,64,64,64,0,0,0,0,0,1
"R01233","北海道","伊達市","北海道",2019-04-21,"伊達市議会議員選挙",1,0,0,0,0,21,54.5,35,57.1666666666667,0.388888888888889,0.222222222222222,0.0555555555555556,0.111111111111111,0.0555555555555556,0.777777777777778
"R01233","北海道","伊達市","北海道",2019-04-21,"伊達市長選挙",0,1,0,0,0,1,68,68,68,1,0,0,0,0,1
"R01234","北海道","北広島市","北海道",2013-07-07,"北広島市長選挙",0,1,0,0,0,1,65,65,65,1,0,0,0,0,1
"R01234","北海道","北広島市","北海道",2015-04-26,"北広島市議会議員選挙",1,0,0,0,0,30,60.5,41,58.4545454545455,0.318181818181818,0.272727272727273,0.363636363636364,0.227272727272727,0.136363636363636,0.409090909090909
"R01234","北海道","北広島市","北海道",2017-07-09,"北広島市長選挙",0,1,0,0,0,1,69,69,69,1,0,0,0,0,1
"R01234","北海道","北広島市","北海道",2019-04-21,"北広島市議会議員選挙",1,0,0,0,0,24,61,39,58.6818181818182,0.318181818181818,0.272727272727273,0.272727272727273,0.181818181818182,0.136363636363636,0.5
"R01234","北海道","北広島市","北海道",2021-07-11,"北広島市長選挙",0,1,0,0,0,2,73,73,73,1,0,0,0,0,1
"R01235","北海道","石狩市","北海道",2015-05-17,"石狩市議会議員選挙",1,0,0,0,0,24,62,33,58.7272727272727,0.363636363636364,0.181818181818182,0.181818181818182,0.136363636363636,0.136363636363636,0.590909090909091
"R01235","北海道","石狩市","北海道",2015-05-17,"石狩市長選挙",0,1,0,0,0,1,69,69,69,1,0,0,0,0,1
"R01235","北海道","石狩市","北海道",2019-05-19,"石狩市議会議員選挙",1,0,0,0,0,25,63,41,60.9,0.45,0.3,0.25,0.15,0.15,0.6
