市区町村,種別,日付,候補者数,年齢中央値,年齢最小値,男性,女性,新人割合,65歳以上割合,自民+公明割合,共産+社民割合,無所属割合
光市,議員,2012/10/28,18,56.5,38.0,15,3,0.16666666666666666,0.3333333333333333,0.05555555555555555,0.1111111111111111,0.8333333333333334
光市,議員,2016/10/23,18,57.5,42.0,15,3,0.16666666666666666,0.2777777777777778,0.05555555555555555,0.1111111111111111,0.8333333333333334
光市,議員,2020/10/25,18,56.5,27.0,16,2,0.3888888888888889,0.3333333333333333,0.05555555555555555,0.05555555555555555,0.8333333333333334
光市,首長,2012/10/28,1,65.0,65.0,1,0,0.0,1.0,0.0,0.0,1.0
光市,首長,2016/10/23,1,69.0,69.0,1,0,0.0,1.0,0.0,0.0,1.0
光市,首長,2020/10/25,1,73.0,73.0,1,0,0.0,1.0,0.0,0.0,1.0
入善町,議員,2013/10/20,14,63.5,35.0,13,1,0.2857142857142857,0.42857142857142855,0.35714285714285715,0.07142857142857142,0.5714285714285714
入善町,議員,2017/10/15,14,62.0,39.0,14,0,0.21428571428571427,0.14285714285714285,0.21428571428571427,0.14285714285714285,0.6428571428571429
入善町,議員,2021/10/17,14,66.0,43.0,14,0,0.0,0.6428571428571429,0.42857142857142855,0.14285714285714285,0.42857142857142855
入善町,首長,2014/8/3,1,65.0,65.0,1,0,1.0,1.0,0.0,0.0,1.0
入善町,首長,2018/8/12,1,69.0,69.0,1,0,0.0,1.0,0.0,0.0,1.0
入間市,議員,2013/3/17,22,54.5,25.0,17,5,0.22727272727272727,0.22727272727272727,0.18181818181818182,0.18181818181818182,0.5
入間市,議員,2017/3/12,22,57.0,25.0,16,6,0.2727272727272727,0.13636363636363635,0.18181818181818182,0.18181818181818182,0.5454545454545454
入間市,議員,2021/3/14,22,61.0,29.0,17,5,0.18181818181818182,0.22727272727272727,0.18181818181818182,0.13636363636363635,0.6818181818181818
入間市,首長,2012/10/21,1,60.0,60.0,1,0,1.0,0.0,0.0,0.0,1.0
入間市,首長,2016/10/23,1,64.0,64.0,1,0,0.0,0.0,0.0,0.0,1.0
入間市,首長,2020/10/18,1,37.0,37.0,1,0,1.0,0.0,0.0,0.0,1.0
八丈町,議員,2014/10/19,14,61.5,41.0,10,4,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.07142857142857142,0.5714285714285714
八丈町,議員,2018/10/14,14,63.0,39.0,9,5,0.21428571428571427,0.35714285714285715,0.35714285714285715,0.0,0.6428571428571429
八丈町,首長,2015/9/13,1,62.0,62.0,1,0,0.0,0.0,0.0,0.0,1.0
八丈町,首長,2019/9/15,1,66.0,66.0,1,0,0.0,1.0,0.0,0.0,1.0
八代市,議員,2013/9/1,32,60.5,38.0,29,3,0.15625,0.3125,0.46875,0.03125,0.5
八代市,議員,2017/8/27,28,61.5,37.0,27,1,0.21428571428571427,0.35714285714285715,0.42857142857142855,0.03571428571428571,0.5357142857142857
八代市,議員,2021/8/29,28,61.5,31.0,27,1,0.17857142857142858,0.39285714285714285,0.5357142857142857,0.03571428571428571,0.39285714285714285
八代市,首長,2013/9/1,1,54.0,54.0,1,0,1.0,0.0,0.0,0.0,1.0
八代市,首長,2017/8/27,1,58.0,58.0,1,0,0.0,0.0,0.0,0.0,1.0
八代市,首長,2021/8/29,1,62.0,62.0,1,0,0.0,0.0,0.0,0.0,1.0
八千代市,議員,2014/12/21,28,56.0,30.0,27,1,0.21428571428571427,0.32142857142857145,0.25,0.10714285714285714,0.5
八千代市,議員,2018/12/16,28,57.0,34.0,25,3,0.17857142857142858,0.2857142857142857,0.39285714285714285,0.14285714285714285,0.32142857142857145
八千代市,首長,2013/5/26,1,44.0,44.0,1,0,1.0,0.0,0.0,0.0,1.0
八千代市,首長,2017/5/21,1,59.0,59.0,1,0,1.0,0.0,0.0,0.0,1.0
八千代町,議員,2015/11/15,14,67.5,33.0,13,1,0.07142857142857142,0.6428571428571429,0.14285714285714285,0.07142857142857142,0.7857142857142857
八千代町,議員,2019/11/17,14,69.5,41.0,14,0,0.21428571428571427,0.6428571428571429,0.14285714285714285,0.0,0.8571428571428571
八千代町,首長,2015/1/18,1,77.0,77.0,1,0,0.0,1.0,0.0,0.0,1.0
八千代町,首長,2019/1/20,1,58.0,58.0,1,0,1.0,0.0,0.0,0.0,1.0
八千代町,首長,2020/9/6,1,61.0,61.0,1,0,1.0,0.0,0.0,0.0,1.0
八女市,議員,2015/4/26,26,61.0,53.0,24,2,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.8461538461538461
八女市,議員,2019/4/21,22,64.5,42.0,20,2,0.13636363636363635,0.5,0.09090909090909091,0.09090909090909091,0.8181818181818182
八女市,首長,2012/11/11,1,68.0,68.0,1,0,0.0,1.0,0.0,0.0,1.0
八女市,首長,2016/11/6,1,72.0,72.0,1,0,0.0,1.0,0.0,0.0,1.0
八女市,首長,2020/11/8,1,76.0,76.0,1,0,0.0,1.0,1.0,1.0,0.0
八尾市,議員,2015/4/26,28,57.5,26.0,0,0,0.21428571428571427,0.2857142857142857,0.32142857142857145,0.21428571428571427,0.32142857142857145
八尾市,議員,2019/4/21,28,50.0,30.0,0,0,0.35714285714285715,0.17857142857142858,0.35714285714285715,0.17857142857142858,0.14285714285714285
八尾市,首長,2015/4/26,1,58.0,58.0,1,0,0.0,0.0,0.0,0.0,1.0
八尾市,首長,2019/4/21,1,49.0,49.0,0,0,1.0,0.0,0.0,0.0,0.0
八峰町,議員,2014/4/20,12,61.5,56.0,12,0,0.25,0.16666666666666666,0.0,0.0,1.0
八峰町,議員,2018/4/15,12,66.0,54.0,10,2,0.16666666666666666,0.6666666666666666,0.0,0.08333333333333333,0.9166666666666666
八峰町,首長,2014/4/20,1,71.0,71.0,1,0,0.0,1.0,0.0,0.0,1.0
八峰町,首長,2018/4/15,1,66.0,66.0,1,0,1.0,1.0,0.0,0.0,1.0
八幡市,議員,2015/4/26,21,57.0,40.0,17,4,0.3333333333333333,0.14285714285714285,0.2857142857142857,0.23809523809523808,0.38095238095238093
八幡市,議員,2019/4/21,21,59.0,41.0,16,5,0.14285714285714285,0.23809523809523808,0.2857142857142857,0.23809523809523808,0.38095238095238093
八幡市,首長,2012/2/12,1,60.0,60.0,1,0,1.0,0.0,0.0,0.0,1.0
八幡市,首長,2016/2/14,1,64.0,64.0,1,0,0.0,0.0,0.0,0.0,1.0
八幡市,首長,2020/2/16,1,68.0,68.0,1,0,0.0,1.0,1.0,0.0,0.0
八幡平市,議員,2014/4/27,22,64.0,50.0,22,0,0.18181818181818182,0.45454545454545453,0.045454545454545456,0.13636363636363635,0.8181818181818182
八幡平市,議員,2018/4/29,20,64.5,54.0,20,0,0.25,0.5,0.05,0.1,0.85
八幡平市,首長,2013/9/29,1,65.0,65.0,1,0,0.0,1.0,0.0,0.0,1.0
八幡平市,首長,2017/9/24,1,69.0,69.0,1,0,0.0,1.0,0.0,0.0,1.0
八幡平市,首長,2021/9/26,1,59.0,59.0,1,0,1.0,0.0,0.0,0.0,1.0
八幡浜市,議員,2013/8/25,16,61.0,48.0,13,3,0.375,0.375,0.0625,0.125,0.75
八幡浜市,議員,2017/8/6,16,60.5,44.0,13,3,0.1875,0.4375,0.0625,0.125,0.8125
