"地域コード","年度","教育費.市町村財政.","歳出決算総額.市町村財政.","経常収支比率.市町村財政.","実質公債費比率.市町村財政.","小学校児童数","中学校生徒数","総人口","総人口.女.","X65歳以上人口","地域女性割合","地域65歳以上割合","児童生徒数","教育費シェア","児童生徒割合","ln教育費.市町村財政.","ln歳出決算総額.市町村財政.","ln総人口","ln総人口.女.","lnX65歳以上人口","ln児童生徒数","logit教育費シェア","政令指定都市","特別区","議員候補者数","議員年齢中央値","議員年齢最小値","議員年齢平均値","議員X65歳以上割合","議員新人割合","議員女性割合","議員自民公明割合","議員共産社民割合","議員無所属割合","議員選挙年","議員経過年度","議員間隔異常","首長候補者数","首長年齢中央値","首長年齢最小値","首長年齢平均値","首長X65歳以上割合","首長新人割合","首長女性割合","首長自民公明割合","首長共産社民割合","首長無所属割合","首長選挙年","首長経過年度","首長間隔異常","議会高齢化ギャップ","議会女性ギャップ"
"R01205",2020,5531453,54929972,96.8,9.5,3312,1700,82383,41993,30330,0.509728948933639,0.368158479297913,5012,0.100700087740806,0.0608377942051151,15.5259610876299,17.821569695579,11.319134383933,10.6452582167084,10.3198926006826,8.5197898172635,-2.18946991432176,0,0,23,62,37,61.1904761904762,0.380952380952381,0.19047619047619,0.136363636363636,0.0952380952380952,0.142857142857143,0.571428571428571,0,1,0,2,41,41,41,0,0,0,0,0,1,0,1,0,0.0127939016544676,-0.373365312570003
"R01205",2021,6765588,49517149,90.3,9.6,3162,1657,81146.8,41307.4,30372.4,0.50904533512104,0.374289559169308,4819,0.136631210330789,0.0593861988396338,15.72735973377,17.7178296119853,11.3040151390167,10.6287969396543,10.3212895802714,8.48052920704465,-1.84355653353032,0,0,23,62,37,61.1904761904762,0.380952380952381,0.19047619047619,0.136363636363636,0.0952380952380952,0.142857142857143,0.571428571428571,0,2,0,2,41,41,41,0,0,0,0,0,1,0,2,0,0.00666282178307304,-0.372681698757404
"R01206",2016,7936196,95304777,97.4,11.1,8102,4423,172809,91559.8,53564.6,0.529832358268377,0.30996418010636,12525,0.0832717545732256,0.0724788639480583,15.8869446252225,18.3725904932863,12.0599422173291,11.4247475897041,10.888643681106,9.43556176308536,-2.39870166564713,0,0,31,54.5,30,51.8571428571429,0.142857142857143,0.178571428571429,0.107142857142857,0.392857142857143,0.142857142857143,0.285714285714286,0,1,0,2,57,57,57,0,0,0,0,0,1,1,0,0,-0.167107037249217,-0.42268950112552
"R01206",2017,9341933,94772700,96.6,10.9,7957,4282,170876,90562.6,54262.2,0.529990168309183,0.317553079426017,12239,0.0985719832821055,0.0716250380392799,16.0500237481067,18.366991951069,12.0486934262403,11.4137966032722,10.9015831309125,9.41246455606632,-2.21319311509156,0,0,31,54.5,30,51.8571428571429,0.142857142857143,0.178571428571429,0.107142857142857,0.392857142857143,0.142857142857143,0.285714285714286,0,2,0,2,57,57,57,0,0,0,0,0,1,0,1,0,-0.174695936568874,-0.422847311166326
"R01206",2018,7797305,92573318,98,11,7729,4120,168943,89565.4,54959.8,0.530151589589388,0.325315639002504,11849,0.0842284274611395,0.0701360814002356,15.869288719136,18.3435115155468,12.0373166589076,11.4027243636695,10.9143572878794,9.38008314656328,-2.38623447604608,0,0,31,54.5,30,51.8571428571429,0.142857142857143,0.178571428571429,0.107142857142857,0.392857142857143,0.142857142857143,0.285714285714286,0,3,0,2,57,57,57,0,0,0,0,0,1,0,2,0,-0.182458496145361,-0.423008732446531
"R01206",2019,8154144,93835143,96.8,10.9,7453,4016,167010,88568.2,55657.4,0.53031674750015,0.333257888749177,11469,0.0868986153727074,0.0686725345787677,15.9140368222495,18.357050002658,12.0258089698457,11.3915281556887,10.9269703218077,9.34749021012342,-2.35210482145011,0,0,32,55,34,54.3571428571429,0.142857142857143,0.142857142857143,0.142857142857143,0.428571428571429,0.142857142857143,0.25,1,0,0,2,57,57,57,0,0,0,0,0,1,0,3,0,-0.190400745892034,-0.387459604643007
"R01206",2020,10467978,116996919,95.5,11,7095,4006,165077,87571,56355,0.530485773305791,0.341386141012982,11101,0.089472253538574,0.0672474057561017,16.1638314409869,18.577658159082,12.0141673106944,11.3802051718869,10.9394262466762,9.31488055125011,-2.32009581168938,0,0,32,55,34,54.3571428571429,0.142857142857143,0.142857142857143,0.142857142857143,0.428571428571429,0.142857142857143,0.25,0,1,0,3,61,61,61,0,0,0,0,0,1,1,0,0,-0.198528998155839,-0.387628630448648
"R01206",2021,8699581,102901683,91,10.7,6537,3634,163144,86573.8,57052.6,0.530658804491737,0.349707007306429,10171,0.0845426502888199,0.0623436963664002,15.9787854215455,18.4492845563557,12.0023885253722,11.3687525083602,10.9517289283096,9.22739412654201,-2.38216763197719,0,0,32,55,34,54.3571428571429,0.142857142857143,0.142857142857143,0.142857142857143,0.428571428571429,0.142857142857143,0.25,0,2,0,3,61,61,61,0,0,0,0,0,1,0,1,0,-0.206849864449286,-0.387801661634594
"R01207",2016,6581214,81898503,92,8.5,8038,4160,168768.8,88049,45508.8,0.521713729077886,0.269651736576903,12198,0.0803581721145745,0.0722763923189594,15.699729784764,18.220991270268,12.0362850099368,11.3856487566764,10.7256609928318,9.40910926014874,-2.43749048324534,0,0,35,57,28,55.9655172413793,0.241379310344828,0.275862068965517,0.172413793103448,0.275862068965517,0.103448275862069,0.517241379310345,0,1,0,1,58,58,58,0,0,0,0,0,1,0,2,0,-0.0282724262320749,-0.349299935974438
"R01207",2017,6739468,85000314,92.3,8.7,7957,4075,168210.6,87765,46381.6,0.521756655050276,0.275735298488918,12032,0.0792875659259329,0.0715293804314353,15.7234915480225,18.2581655085654,12.0329720447493,11.3824180668904,10.7446581078428,9.39540815443816,-2.45206643678575,0,0,35,57,28,55.9655172413793,0.241379310344828,0.275862068965517,0.172413793103448,0.275862068965517,0.103448275862069,0.517241379310345,0,2,0,1,58,58,58,0,0,0,0,0,1,0,3,0,-0.03435598814409,-0.349342861946828
